ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
51241574,2009-06-26 21:48:52 +0000,2014-07-19 03:08:05 +0000,85596,0,60115,7384,3502439,AP,The Associated Press,true,false,"News, discussion and behind-the-scenes insight from The Associated Press. Managed 24/7 by a team of editors based in New York: http://t.co/qej5Fpwahh",Family of woman slain during gun battle between bank robbers and police launches their own investigation: http://t.co/ST7Uqnrtp0,Global,http://www.ap.org
612473,2007-01-08 08:05:57 +0000,2014-07-19 01:44:03 +0000,220714,0,29154,93,2918206,BBCNews,BBC News (UK),true,false,"News, features and analysis from BBC News (UK edition). For world edition, follow @BBCWorld. For breaking news, follow @BBCBreaking. Latest sport news @BBCSport","""Safer IVF"" with kisspeptin hormone shows promise http://t.co/VIVQLVrOGE http://t.co/Kba400Z9ST",London,http://www.bbc.co.uk/news
22707076,2009-03-04 00:33:58 +0000,2014-07-19 03:12:17 +0000,45428,13,270,1180,6633,bozchron,Bozeman Chronicle,false,false,The official Twitter feed for the Bozeman Daily Chronicle.,Game On: Evo fighting game tournament showcases prizes and glory http://t.co/IQF3o53WUg #bdcnews,"Bozeman, Montana",http://bozemandailychronicle.com/
15012486,2008-06-05 00:54:31 +0000,2014-07-19 02:49:35 +0000,60672,62,36108,391,3195420,CBSNews,CBS News,true,false,The official twitter feed of CBS News. Follow for original reporting and trusted news,Israeli troops push deeper into Gaza; casualties mount http://t.co/8DHgR8RvaI,"New York, NY",http://CBSNews.com
87818409,2009-11-05 23:49:19 +0000,2014-07-18 22:49:32 +0000,75902,130,31158,1078,2426319,guardian,The Guardian,true,false,"Top stories, special features, live blogs and more from http://t.co/rrGq778cPt","The Guardian front page, Saturday 19 July 2014 â€“ Cover-up: rebels destroying all links to MH17 air atrocity http://t.co/lJPbnMV9kb",London,http://theguardian.com
14677919,2008-05-06 19:36:33 +0000,2014-07-19 03:00:54 +0000,20348,7,49324,263,3283643,NewYorker,The New Yorker,true,false,"The New Yorker is a weekly magazine with a mix of reporting of politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism.",Cartoon of the night by Shannon Wheeler: http://t.co/XY5I3xCsfC,"New York, NY",http://www.newyorker.com
14062180,2008-02-29 21:50:05 +0000,2014-07-16 21:39:31 +0000,4609,346,8582,398,348546,NPR,NPR,true,false,"This is NPR, PR. Info from our comm. team: media, PR, creative and corporate. Note: Follow @nprnews to get more NPR news stories.","Love art, museums &amp; a good documentary? Reserve your #free seat at our NPR HQ screening of @herbanddorothy on 7/22! http://t.co/iiSbuGJYcs","Washington, DC",http://www.facebook.com/thisisnpr
807095,2007-03-02 20:41:42 +0000,2014-07-19 03:14:05 +0000,142197,19,146561,963,12413339,nytimes,The New York Times,true,false,"Where the conversation begins. Follow for breaking news, special reports, http://t.co/u15NNuLyJH homepage links and RTs of our journalists.",Amy Schumer and Judd Apatow are perfect together http://t.co/JjoZ3zubiQ,New York City,http://www.nytimes.com/
14606079,2008-04-30 21:17:15 +0000,2014-07-19 01:49:01 +0000,27582,1765,9916,192,285411,ProPublica,ProPublica,true,false,"We're a nonprofit, independent newsroom that produces investigative journalism in the public interest. Tweets usually from @amandablair @amzam @hanqingC.","Detroit shut off water of at least 15,000 households since the end of March. @TheAtlantic explores why:  http://t.co/l5AZvHJIVw @TheAtlantic","New York, NY",http://www.propublica.org/
15754281,2008-08-06 19:55:31 +0000,2014-07-19 03:12:35 +0000,91952,683,22393,719,1159044,USATODAY,USA TODAY,true,false,The latest news and most interesting stories from USA TODAY. News that's meant to be shared.,Boy recovering after odyssey of illnesses http://t.co/vS3wnYUImY,"USA TODAY HQ, McLean, Va.",http://www.usatoday.com
2467791,2007-03-27 11:19:39 +0000,2014-07-19 03:12:00 +0000,110118,3899,54407,1106,2994039,washingtonpost,Washington Post,true,false,"Tweets about everything from breaking news to bad restaurants. Sometimes global, sometimes local. Led by @MiGold.",Some politicians have been around D.C. a long time. Can you recognize them when they were young? http://t.co/PUJrnzT4yf,"Washington, D.C. ",http://instagram.com/washingtonpost
3108351,2007-04-01 06:22:13 +0000,2014-07-19 03:16:06 +0000,86318,872,78982,901,4716103,WSJ,Wall Street Journal,true,false,"In our 125th year, breaking news and features from the WSJ. Tweets by @rubinafillion @elanazak @allisonlichter @sarahmarshall @toddjolmstead and @mayaj.",#MH17 compensation claims could be limited for crash victims. Here's why: http://t.co/1kjFEveMI5,"New York, NY",http://wsj.com
